customer_id,review_status
CUST_1001,APPROVED
CUST_1002,APPROVED
CUST_1003,APPROVED
CUST_1004,APPROVED
CUST_1005,APPROVED
CUST_1006,APPROVED
CUST_1007,APPROVED
CUST_1008,APPROVED
CUST_1009,APPROVED
CUST_1010,APPROVED
CUST_1011,APPROVED
CUST_1012,APPROVED
CUST_1013,APPROVED
CUST_1014,APPROVED
CUST_1015,APPROVED
CUST_1016,APPROVED
CUST_1017,APPROVED
CUST_1018,APPROVED
CUST_1019,APPROVED
CUST_1020,APPROVED
CUST_1021,APPROVED
CUST_1022,APPROVED
CUST_1023,APPROVED
CUST_1024,APPROVED
CUST_1025,ESCALATED
CUST_1026,APPROVED
CUST_1027,APPROVED
CUST_1028,APPROVED
CUST_1029,APPROVED
CUST_1030,APPROVED
CUST_1031,APPROVED
CUST_1032,APPROVED
CUST_1033,APPROVED
CUST_1034,APPROVED
CUST_1035,APPROVED
CUST_1036,APPROVED
CUST_1037,APPROVED
CUST_1038,APPROVED
CUST_1039,APPROVED
CUST_1040,ESCALATED
CUST_1041,APPROVED
CUST_1042,APPROVED
CUST_1043,APPROVED
CUST_1044,APPROVED
CUST_1045,APPROVED
CUST_1046,APPROVED
CUST_1047,APPROVED
CUST_1048,APPROVED
CUST_1049,APPROVED
CUST_1050,APPROVED
CUST_1051,APPROVED
CUST_1052,APPROVED
CUST_1053,APPROVED
CUST_1054,APPROVED
CUST_1055,APPROVED
CUST_1056,APPROVED
CUST_1057,APPROVED
CUST_1058,APPROVED
CUST_1059,APPROVED
CUST_1060,APPROVED
CUST_1061,APPROVED
CUST_1062,APPROVED
CUST_1063,APPROVED
CUST_1064,APPROVED
CUST_1065,APPROVED
CUST_1066,APPROVED
CUST_1067,APPROVED
CUST_1068,APPROVED
CUST_1069,APPROVED
CUST_1070,APPROVED
CUST_1071,APPROVED
CUST_1072,APPROVED
CUST_1073,APPROVED
CUST_1074,APPROVED
CUST_1075,APPROVED
CUST_1076,APPROVED
CUST_1077,APPROVED
CUST_1078,APPROVED
CUST_1079,APPROVED
CUST_1080,APPROVED
CUST_1081,APPROVED
CUST_1082,APPROVED
CUST_1083,APPROVED
CUST_1084,APPROVED
CUST_1085,APPROVED
CUST_1086,APPROVED
CUST_1087,APPROVED
CUST_1088,APPROVED
CUST_1089,APPROVED
CUST_1090,APPROVED
CUST_1091,APPROVED
CUST_1092,APPROVED
CUST_1093,APPROVED
CUST_1094,APPROVED
CUST_1095,APPROVED
CUST_1096,APPROVED
CUST_1097,APPROVED
CUST_1098,APPROVED
CUST_1099,APPROVED
CUST_1100,APPROVED
